Time,Max,Min,SMA,RSI,Value
2019-05-08 04:00,1.346140000,1.345890000,1.3459166666667,63.299462044232,1.345940000
2019-05-08 05:00,1.346610000,1.346510000,1.3459721666667,62.319911340968,1.346540000
2019-05-08 06:00,1.347770000,1.347520000,1.3459828333333,59.163701067616,1.347720000
2019-05-08 07:00,1.34770000,1.347590000,1.3460185,59.396100973025,1.347590000
2019-05-08 08:00,1.346570000,1.346390000,1.3460525,59.262714206744,1.346390000
2019-05-08 09:00,1.346720000,1.346260000,1.34604,57.368954723802,1.34630000
2019-05-08 10:00,1.346380000,1.346140000,1.3460086666667,57.534695661676,1.346160000
2019-05-08 11:00,1.346620000,1.3460000,1.3459893333333,58.454535361386,1.3460000
2019-05-08 12:00,1.345910000,1.34580000,1.3459633333333,59.607438016529,1.345890000
2019-05-08 13:00,1.346560000,1.346440000,1.3459353333333,61.155763935402,1.346490000
2019-05-08 14:00,1.347260000,1.347160000,1.3459275,61.052165817056,1.347160000
2019-05-08 15:00,1.347590000,1.347430000,1.3459186666667,60.972297915185,1.347590000
2019-05-08 16:00,1.348120000,1.347940000,1.3459008333333,60.238469429047,1.348120000
2019-05-08 17:00,1.347340000,1.347340000,1.3459098333333,60.735778358124,1.347340000
2019-05-08 18:00,1.347650000,1.347420000,1.3459023333333,61.068802398014,1.347560000
2019-05-08 19:00,1.347260000,1.347150000,1.3459046666667,60.188933873144,1.347190000
2019-05-08 20:00,1.347360000,1.347260000,1.3459071666667,60.202474690664,1.347350000
2019-05-08 21:00,1.347760000,1.347430000,1.3459136666667,58.864751226349,1.347750000
2019-05-08 22:00,1.348190000,1.34810000,1.3459011666667,57.271800844373,1.348190000
2019-05-08 23:00,1.348370000,1.348250000,1.3459215,58.45291568947,1.348290000
2019-05-09 00:00,1.348220000,1.348170000,1.3459718333333,59.659622218066,1.348190000
2019-05-09 01:00,1.348580000,1.348450000,1.34603,60.456742158628,1.348450000
2019-05-09 02:00,1.348620000,1.348410000,1.3460828333333,60.012137860542,1.348410000
2019-05-09 03:00,1.349180000,1.348880000,1.3461486666667,61.388661983336,1.34890000
2019-05-09 04:00,1.348820000,1.348460000,1.3462346666667,61.803631886735,1.348820000
2019-05-09 05:00,1.348410000,1.348270000,1.3463181666667,63.133383621396,1.348350000
2019-05-09 06:00,1.347890000,1.347790000,1.3463813333333,62.826820819451,1.34780000
2019-05-09 07:00,1.347460000,1.347290000,1.3464191666667,62.052693668895,1.347350000
2019-05-09 08:00,1.348190000,1.347980000,1.3464563333333,61.98305370069,1.348010000
2019-05-09 09:00,1.34950000,1.349330000,1.3465088333333,61.79767827529,1.349390000
2019-05-09 10:00,1.349550000,1.349260000,1.3465963333333,63.406113537118,1.349450000
2019-05-09 11:00,1.348620000,1.348360000,1.3467191666667,66.035732422326,1.348480000
2019-05-09 12:00,1.349270000,1.349090000,1.346826,64.048717145032,1.349190000
2019-05-09 13:00,1.347940000,1.347740000,1.346942,64.743336407149,1.347930000
2019-05-09 14:00,1.347490000,1.34720000,1.347049,63.686233855989,1.347380000
